Module1,Module2,Module3,Module4,Module5,Module6,Module7,Module8,Module9,Module10,Module11,Module12,Module13,Module14,Module15,Module16
,HMGN1,,,,,,,,,,,,RSRC1,,
,LSM3,,,,,,,,,,,,SPTBN1,,
,ENY2,,,,,,,,,,,,SLC38A2,,
,PSMA4,,,,,,,,,,,,THOC2,,
,MPC2,,,,,,,,,,,,G3BP2,,
,PSMB2,,,,,,,,,,,,CCNL1,,
,ERH,,,,,,,,,,,,IFRD1,,
,CBX3,,,,,,,,,,,,HIF1A,,
,HAUS1,,,,,,,,,,,,SF3B1,,
,SNRPB2,,,,,,,,,,,,PRRC2C,,
,H3F3A,,,,,,,,,,,,YME1L1,,
,POLR2G,,,,,,,,,,,,SON,,
,DCTN3,,,,,,,,,,,,ARHGEF7,,
,UBB,,,,,,,,,,,,RBM39,,
,POLR2K,,,,,,,,,,,,MDM4,,
,NDUFAF3,,,,,,,,,,,,XIST,,
,SRP9,,,,,,,,,,,,DDX3X,,
,GTF2A2,,,,,,,,,,,,SAFB2,,
,UBE2E3,,,,,,,,,,,,NCOR1,,
,FAIM,,,,,,,,,,,,2-Sep,,
,PSMD7,,,,,,,,,,,,ITSN2,,
,PTMA,,,,,,,,,,,,NCOA3,,
,SNRPD3,,,,,,,,,,,,ANKRD12,,
,DNAJC8,,,,,,,,,,,,ARHGAP15,,
,ANP32A,,,,,,,,,,,,ANKRD44,,
,CFL1,,,,,,,,,,,,ATF7IP,,
,PSMB3,,,,,,,,,,,,PTPN1,,
,MAGOH,,,,,,,,,,,,STK4,,
,ELOC,,,,,,,,,,,,SNX9,,
,UBE2A,,,,,,,,,,,,EML4,,
,COPE,,,,,,,,,,,,SMCHD1,,
,UBE2L3,,,,,,,,,,,,TGFBR2,,
,NDUFS7,,,,,,,,,,,,PARP15,,
,RALY,,,,,,,,,,,,DOPEY2,,
,SF3A2,,,,,,,,,,,,MANBA,,
,NRM,,,,,,,,,,,,NFKBID,,
,CALM3,,,,,,,,,,,,CCDC141,,
,CMC2,,,,,,,,,,,,CBLB,,
,HMGB2,,,,,,,,,,,,BACH1,,
,CARHSP1,,,,,,,,,,,,MBNL2,,
,RBM17,,,,,,,,,,,,BCL2L11,,
,HNRNPUL1,,,,,,,,,,,,USP3,,
,CCND3,,,,,,,,,,,,DGKD,,
,UBE2I,,,,,,,,,,,,IQSEC1,,
,HNRNPK,,,,,,,,,,,,B4GALT1,,
,PPP2R1A,,,,,,,,,,,,KLHL14,,
,NINJ1,,,,,,,,,,,,CYB5R4,,
,EIF4H,,,,,,,,,,,,CDC40,,
,RNASEH2B,,,,,,,,,,,,DTX1,,
,XRCC5,,,,,,,,,,,,ACSM3,,
,RBBP4,,,,,,,,,,,,APBB2,,
,TPGS2,,,,,,,,,,,,AUP1,,
,YWHAQ,,,,,,,,,,,,HS3ST1,,
,STMN1,,,,,,,,,,,,CCDC191,,
,SRSF3,,,,,,,,,,,,MYO1C,,
,IGLL1,,,,,,,,,,,,MCTP2,,
,NUDT5,,,,,,,,,,,,DOCK10,,
,RBMX,,,,,,,,,,,,ATP8A1,,
,NONO,,,,,,,,,,,,AVL9,,
,HMGN2,,,,,,,,,,,,SUSD6,,
,H2AFV,,,,,,,,,,,,ZNF10,,
,HMGB1,,,,,,,,,,,,ABCG1,,
,PPM1G,,,,,,,,,,,,MBTPS1,,
,XRCC6,,,,,,,,,,,,SLC43A2,,
,HSPA8,,,,,,,,,,,,CEMIP,,
,HNRNPF,,,,,,,,,,,,C3orf52,,
,RHEB,,,,,,,,,,,,AL132996.1,,
,GGH,,,,,,,,,,,,PDE4D,,
,PHGDH,,,,,,,,,,,,SLC8B1,,
,PKM,,,,,,,,,,,,,,
,DEK,,,,,,,,,,,,,,
,SIVA1,,,,,,,,,,,,,,
,TUBB,,,,,,,,,,,,,,
,TUBA1B,,,,,,,,,,,,,,
,H2AFZ,,,,,,,,,,,,,,
,TYMS,,,,,,,,,,,,,,
,HADH,,,,,,,,,,,,,,
,IDH2,,,,,,,,,,,,,,
,MDH1,,,,,,,,,,,,,,
,MAGOHB,,,,,,,,,,,,,,
,PSMG2,,,,,,,,,,,,,,
,PSIP1,,,,,,,,,,,,,,
,CKS2,,,,,,,,,,,,,,
,CCDC34,,,,,,,,,,,,,,
,NUCKS1,,,,,,,,,,,,,,
,CENPW,,,,,,,,,,,,,,
,HMGB3,,,,,,,,,,,,,,
,MAD2L1,,,,,,,,,,,,,,
,PTTG1,,,,,,,,,,,,,,
,JPT1,,,,,,,,,,,,,,
,RNASEH2C,,,,,,,,,,,,,,
,RNPS1,,,,,,,,,,,,,,
,RPA3,,,,,,,,,,,,,,
,PGAM1,,,,,,,,,,,,,,
,SNRPG,,,,,,,,,,,,,,
,SNRPB,,,,,,,,,,,,,,
,COX6A1,,,,,,,,,,,,,,
,ARHGDIA,,,,,,,,,,,,,,
,TUBB3,,,,,,,,,,,,,,
,ELP5,,,,,,,,,,,,,,
